route	method	auth_level	source	compatibility
/api/chat/tabs/:param	POST	source-declared	src/web/api/chat/tabs.rs:669	route-stable-through-2.x
/api/chat/tabs/:param	POST	source-declared	src/web/api/chat/tabs.rs:699	route-stable-through-2.x
/api/chat/tabs/:param	POST	source-declared	src/web/api/chat/tabs.rs:729	route-stable-through-2.x
/api/chat/tabs/:param	PUT	api-token	src/web/api/chat/tabs.rs:389	route-stable-through-2.x
/api/chat/tabs/order	PATCH	api-token	src/web/api/chat/tabs.rs:576	route-stable-through-2.x
/api/chat/tabs	GET	api-token	src/web/api/chat/tabs.rs:277	route-stable-through-2.x
/api/chat/tabs	POST	api-token	src/web/api/chat/tabs.rs:311	route-stable-through-2.x
/api/chat	POST	api-token	src/web/api/chat/stream.rs:32	route-stable-through-2.x
/api/collections/:param	DELETE	api-token	src/web/api/models.rs:2625	route-stable-through-2.x
/api/collections/:param	PATCH	api-token	src/web/api/models.rs:2559	route-stable-through-2.x
/api/collections	GET	api-token	src/web/api/models.rs:2472	route-stable-through-2.x
/api/collections	POST	api-token	src/web/api/models.rs:2491	route-stable-through-2.x
/api/context-notes/analyze	POST	api-token	src/web/api/chat/notes.rs:53	route-stable-through-2.x
/api/db/admin-token	GET	loopback-or-authenticated	src/web/api/tokens.rs:78	route-stable-through-2.x
/api/db/backup	DELETE	source-declared	src/web/api/db.rs:729	route-stable-through-2.x
/api/db/backup	POST	api-token	src/web/api/db.rs:194	route-stable-through-2.x
/api/db/backups	GET	api-token	src/web/api/db.rs:424	route-stable-through-2.x
/api/db/indexes	GET	api-token	src/web/api/db.rs:305	route-stable-through-2.x
/api/db/integrity	GET	api-token	src/web/api/db.rs:84	route-stable-through-2.x
/api/db/maintenance	POST	api-token	src/web/api/db.rs:136	route-stable-through-2.x
/api/db/query	POST	api-token	src/web/api/db.rs:349	route-stable-through-2.x
/api/db/repair	POST	source-declared	src/web/api/db.rs:656	route-stable-through-2.x
/api/db/restore	POST	source-declared	src/web/api/db.rs:505	route-stable-through-2.x
/api/db/stats	GET	api-token	src/web/api/db.rs:46	route-stable-through-2.x
/api/debug/logs	GET	api-token	src/web/api/debug.rs:38	route-stable-through-2.x
/api/debug/spawn-cmd	GET	api-token	src/web/api/debug.rs:13	route-stable-through-2.x
/api/detach	POST	api-token	src/web/api/sessions.rs:1578	route-stable-through-2.x
/api/diagnostics/apply-fix	POST	api-token	src/web/api/sessions.rs:451	route-stable-through-2.x
/api/doctor/findings	GET	api-token	src/web/api/doctor.rs:15	route-stable-through-2.x
/api/gpu-env	GET	api-token	src/web/api/config.rs:202	route-stable-through-2.x
/api/gpu-env	PUT	api-token	src/web/api/config.rs:226	route-stable-through-2.x
/api/hf/card	GET	api-token	src/web/api/hf.rs:639	route-stable-through-2.x
/api/hf/community-picks	GET	api-token	src/web/api/hf.rs:252	route-stable-through-2.x
/api/hf/community-sources/entry	DELETE	api-token	src/web/api/hf.rs:534	route-stable-through-2.x
/api/hf/community-sources/entry	POST	api-token	src/web/api/hf.rs:473	route-stable-through-2.x
/api/hf/community-sources/reset	POST	api-token	src/web/api/hf.rs:576	route-stable-through-2.x
/api/hf/community-sources	GET	api-token	src/web/api/hf.rs:402	route-stable-through-2.x
/api/hf/community-sources	PUT	api-token	src/web/api/hf.rs:437	route-stable-through-2.x
/api/hf/download-dir	GET	api-token	src/web/api/hf.rs:604	route-stable-through-2.x
/api/hf/download	POST	api-token	src/web/api/hf.rs:1229	route-stable-through-2.x
/api/hf/files	POST	api-token	src/web/api/hf.rs:188	route-stable-through-2.x
/api/hf/identity	POST	api-token	src/web/api/hf.rs:1498	route-stable-through-2.x
/api/hf/meta	GET	api-token	src/web/api/hf.rs:745	route-stable-through-2.x
/api/hf/mlx-derivatives	POST	api-token	src/web/api/hf.rs:1387	route-stable-through-2.x
/api/hf/mtp-pins/:param	DELETE	api-token	src/web/api/hf.rs:1062	route-stable-through-2.x
/api/hf/mtp-pins	GET	api-token	src/web/api/hf.rs:992	route-stable-through-2.x
/api/hf/mtp-preflight/recheck	POST	api-token	src/web/api/hf.rs:925	route-stable-through-2.x
/api/hf/mtp-preflight	GET	api-token	src/web/api/hf.rs:805	route-stable-through-2.x
/api/hf/mtp-sidecars	GET	api-token	src/web/api/hf.rs:1031	route-stable-through-2.x
/api/hf/qualify	POST	api-token	src/web/api/hf.rs:1439	route-stable-through-2.x
/api/hf/quantizers	GET	api-token	src/web/api/hf.rs:290	route-stable-through-2.x
/api/hf/quantizers	PUT	api-token	src/web/api/hf.rs:320	route-stable-through-2.x
/api/hf/resolve-origin	POST	api-token	src/web/api/hf.rs:1101	route-stable-through-2.x
/api/hf/search	POST	api-token	src/web/api/hf.rs:85	route-stable-through-2.x
/api/hf/token	DELETE	api-token	src/web/api/hf.rs:1202	route-stable-through-2.x
/api/hf/token	GET	api-token	src/web/api/hf.rs:1147	route-stable-through-2.x
/api/hf/token	PUT	api-token	src/web/api/hf.rs:1167	route-stable-through-2.x
/api/internal/api-token	GET	loopback-or-authenticated	src/web/api/tokens.rs:49	route-stable-through-2.x
/api/keywords/generate	POST	api-token	src/web/api/chat/suggestions.rs:177	route-stable-through-2.x
/api/kill-server	POST	source-declared	src/web/api/sessions.rs:1632	route-stable-through-2.x
/api/lhm/check	GET	api-token	src/web/api/lhm.rs:35	route-stable-through-2.x
/api/lhm/disable	POST	api-token	src/web/api/lhm.rs:287	route-stable-through-2.x
/api/lhm/install	POST	api-token	src/web/api/lhm.rs:203	route-stable-through-2.x
/api/lhm/progress	GET	api-token	src/web/api/lhm.rs:148	route-stable-through-2.x
/api/lhm/start	POST	api-token	src/web/api/lhm.rs:75	route-stable-through-2.x
/api/lhm/status	GET	api-token	src/web/api/lhm.rs:110	route-stable-through-2.x
/api/lhm/uninstall	POST	api-token	src/web/api/lhm.rs:245	route-stable-through-2.x
/api/llama-binary/latest	GET	api-token	src/web/api/llama_binary.rs:122	route-stable-through-2.x
/api/llama-binary/platform-info	GET	api-token	src/web/api/llama_binary.rs:388	route-stable-through-2.x
/api/llama-binary/release	GET	api-token	src/web/api/llama_binary.rs:317	route-stable-through-2.x
/api/llama-binary/releases	GET	api-token	src/web/api/llama_binary.rs:235	route-stable-through-2.x
/api/llama-binary/update	POST	api-token	src/web/api/llama_binary.rs:565	route-stable-through-2.x
/api/llama-binary/version	GET	api-token	src/web/api/llama_binary.rs:44	route-stable-through-2.x
/api/llama/restart	POST	api-token	src/web/api/llama_binary.rs:1097	route-stable-through-2.x
/api/memory-availability/fit	POST	api-token	src/web/api/vram.rs:1264	route-stable-through-2.x
/api/memory-availability	GET	api-token	src/web/api/vram.rs:1233	route-stable-through-2.x
/api/model-defaults	POST	api-token	src/web/api/benchmark.rs:515	route-stable-through-2.x
/api/model/introspect	POST	api-token	src/web/api/models.rs:1581	route-stable-through-2.x
/api/models/download/:param/cancel	POST	api-token	src/web/api/models.rs:1500	route-stable-through-2.x
/api/models/download/:param/status	GET	api-token	src/web/api/models.rs:1465	route-stable-through-2.x
/api/models/download/resume	POST	api-token	src/web/api/models.rs:1341	route-stable-through-2.x
/api/models/download/start	POST	db-admin-token	src/web/api/models.rs:1267	route-stable-through-2.x
/api/models/external-cache/delete	POST	api-token	src/web/api/models.rs:470	route-stable-through-2.x
/api/models/external-cache	GET	api-token	src/web/api/models.rs:382	route-stable-through-2.x
/api/models/file	DELETE	api-token	src/web/api/models.rs:2267	route-stable-through-2.x
/api/models/gguf-meta	POST	api-token	src/web/api/models.rs:1707	route-stable-through-2.x
/api/models/gguf/import/compatibility/preview	POST	api-token	src/web/api/models.rs:857	route-stable-through-2.x
/api/models/import-lab/availability	GET	api-token	src/web/api/models.rs:911	route-stable-through-2.x
/api/models/import-lab/jobs/:param/cancel	POST	api-token	src/web/api/models.rs:1078	route-stable-through-2.x
/api/models/import-lab/jobs/:param	DELETE	api-token	src/web/api/models.rs:1095	route-stable-through-2.x
/api/models/import-lab/jobs/:param	GET	api-token	src/web/api/models.rs:1057	route-stable-through-2.x
/api/models/import-lab/jobs	GET	api-token	src/web/api/models.rs:1006	route-stable-through-2.x
/api/models/import-lab/jobs	POST	api-token	src/web/api/models.rs:1021	route-stable-through-2.x
/api/models/import-lab/resource-estimate	POST	api-token	src/web/api/models.rs:936	route-stable-through-2.x
/api/models/inventory	GET	api-token	src/web/api/models.rs:322	route-stable-through-2.x
/api/models/library/adopt/preview	POST	api-token	src/web/api/models.rs:580	route-stable-through-2.x
/api/models/library/adopt	POST	api-token	src/web/api/models.rs:632	route-stable-through-2.x
/api/models/library/cache	DELETE	api-token	src/web/api/models.rs:749	route-stable-through-2.x
/api/models/library/directory	DELETE	api-token	src/web/api/models.rs:695	route-stable-through-2.x
/api/models/library/migration/execute	POST	db-admin-token	src/web/api/models.rs:1192	route-stable-through-2.x
/api/models/library/migration/preview	POST	api-token	src/web/api/models.rs:1120	route-stable-through-2.x
/api/models/mlx-introspect	POST	api-token	src/web/api/models.rs:1906	route-stable-through-2.x
/api/models/rapid-mlx/resolve/preview	POST	api-token	src/web/api/models.rs:811	route-stable-through-2.x
/api/models/refresh	POST	api-token	src/web/api/models.rs:2232	route-stable-through-2.x
/api/models/root-relocation/execute	POST	db-admin-token	src/web/api/models.rs:243	route-stable-through-2.x
/api/models/root-relocation/preview	POST	api-token	src/web/api/models.rs:184	route-stable-through-2.x
/api/models/root-relocation/status	GET	api-token	src/web/api/models.rs:130	route-stable-through-2.x
/api/models/tags	GET	api-token	src/web/api/models.rs:2386	route-stable-through-2.x
/api/models/tags	PUT	api-token	src/web/api/models.rs:2405	route-stable-through-2.x
/api/models	GET	api-token	src/web/api/models.rs:2148	route-stable-through-2.x
/api/moe-tune	POST	api-token	src/web/api/benchmark.rs:658	route-stable-through-2.x
/api/presets/:param	DELETE	api-token	src/web/api/presets.rs:247	route-stable-through-2.x
/api/presets/:param	GET	api-token	src/web/api/presets.rs:97	route-stable-through-2.x
/api/presets/:param	PUT	api-token	src/web/api/presets.rs:172	route-stable-through-2.x
/api/presets/reset	POST	api-token	src/web/api/presets.rs:277	route-stable-through-2.x
/api/presets	GET	api-token	src/web/api/presets.rs:71	route-stable-through-2.x
/api/presets	POST	api-token	src/web/api/presets.rs:126	route-stable-through-2.x
/api/rapid-mlx/command-preview	POST	api-token	src/web/api/rapid_mlx_runtime.rs:513	route-stable-through-2.x
/api/rapid-mlx/doctor	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1917	route-stable-through-2.x
/api/rapid-mlx/escape-hatch-flags	GET	api-token	src/web/api/rapid_mlx_runtime.rs:301	route-stable-through-2.x
/api/rapid-mlx/flag-advisor	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1995	route-stable-through-2.x
/api/rapid-mlx/models/:param/profile	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1773	route-stable-through-2.x
/api/rapid-mlx/models/:param/unified-profile	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1867	route-stable-through-2.x
/api/rapid-mlx/recommend	POST	api-token	src/web/api/rapid_mlx_runtime.rs:1133	route-stable-through-2.x
/api/rapid-mlx/runtime/changelog	GET|POST	db-admin-token	src/web/api/rapid_mlx_runtime.rs:1264	route-stable-through-2.x
/api/rapid-mlx/runtime/jobs/:param	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1455	route-stable-through-2.x
/api/rapid-mlx/runtime/metadata	GET	api-token	src/web/api/rapid_mlx_runtime.rs:933	route-stable-through-2.x
/api/rapid-mlx/runtime/prefix-cache-guidance	POST	api-token	src/web/api/rapid_mlx_runtime.rs:1060	route-stable-through-2.x
/api/rapid-mlx/runtime/releases	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1238	route-stable-through-2.x
/api/rapid-mlx/runtime/status	GET	api-token	src/web/api/rapid_mlx_runtime.rs:1202	route-stable-through-2.x
/api/rapid-mlx/settings/validate	POST	api-token	src/web/api/rapid_mlx_runtime.rs:420	route-stable-through-2.x
/api/rapid-mlx/settings	GET	api-token	src/web/api/rapid_mlx_runtime.rs:331	route-stable-through-2.x
/api/remote-agent/detect	POST	api-token	src/web/api/remote_agent.rs:72	route-stable-through-2.x
/api/remote-agent/install	POST	source-declared	src/web/api/remote_agent.rs:265	route-stable-through-2.x
/api/remote-agent/releases/latest	GET	api-token	src/web/api/remote_agent.rs:44	route-stable-through-2.x
/api/remote-agent/remove	POST	source-declared	src/web/api/remote_agent.rs:682	route-stable-through-2.x
/api/remote-agent/ssh/host-key	POST	api-token	src/web/api/remote_agent.rs:129	route-stable-through-2.x
/api/remote-agent/ssh/trust	POST	api-token	src/web/api/remote_agent.rs:189	route-stable-through-2.x
/api/remote-agent/start	POST	api-token	src/web/api/remote_agent.rs:418	route-stable-through-2.x
/api/remote-agent/status	POST	api-token	src/web/api/remote_agent.rs:344	route-stable-through-2.x
/api/remote-agent/stop	POST	api-token	src/web/api/remote_agent.rs:607	route-stable-through-2.x
/api/remote-agent/tls-status	GET	api-token	src/web/api/remote_agent.rs:755	route-stable-through-2.x
/api/remote-agent/update	POST	api-token	src/web/api/remote_agent.rs:532	route-stable-through-2.x
/api/rotate-agent-token	POST	api-token	src/web/api/config.rs:408	route-stable-through-2.x
/api/rotate-api-token	POST	api-token	src/web/api/config.rs:451	route-stable-through-2.x
/api/rotate-db-admin-token	POST	api-token	src/web/api/config.rs:495	route-stable-through-2.x
/api/self-update	POST	source-declared	src/web/api/self_update.rs:25	route-stable-through-2.x
/api/sensor-bridge/install	POST	api-token	src/web/api/sensor_bridge.rs:70	route-stable-through-2.x
/api/sensor-bridge/status	GET	api-token	src/web/api/sensor_bridge.rs:26	route-stable-through-2.x
/api/sensor-bridge/uninstall	POST	api-token	src/web/api/sensor_bridge.rs:112	route-stable-through-2.x
/api/sessions/:param	DELETE	db-admin-token	src/web/api/sessions.rs:621	route-stable-through-2.x
/api/sessions/active/readiness	GET	api-token	src/web/api/sessions.rs:726	route-stable-through-2.x
/api/sessions/active	GET	api-token	src/web/api/sessions.rs:675	route-stable-through-2.x
/api/sessions/active	POST	api-token	src/web/api/sessions.rs:877	route-stable-through-2.x
/api/sessions/check-endpoint	GET	api-token	src/web/api/sessions.rs:185	route-stable-through-2.x
/api/sessions/llama-cpp-diagnostics	GET	api-token	src/web/api/sessions.rs:231	route-stable-through-2.x
/api/sessions/recent	GET	api-token	src/web/api/sessions.rs:157	route-stable-through-2.x
/api/sessions/spawn	POST	db-admin-token	src/web/api/sessions.rs:919	route-stable-through-2.x
/api/sessions	GET	api-token	src/web/api/sessions.rs:133	route-stable-through-2.x
/api/sessions	POST	api-token	src/web/api/sessions.rs:587	route-stable-through-2.x
/api/settings/full	GET	api-token	src/web/api/config.rs:270	route-stable-through-2.x
/api/settings	GET	api-token	src/web/api/config.rs:248	route-stable-through-2.x
/api/settings	PUT	api-token	src/web/api/config.rs:314	route-stable-through-2.x
/api/sleep-mode/set	POST	api-token	src/web/api/sleep.rs:112	route-stable-through-2.x
/api/sleep-mode/toggle	POST	api-token	src/web/api/sleep.rs:62	route-stable-through-2.x
/api/sleep-mode	GET	api-token	src/web/api/sleep.rs:39	route-stable-through-2.x
/api/spawn-wizard/import-launch-file	POST	api-token	src/web/api/spawn_wizard.rs:355	route-stable-through-2.x
/api/spawn-wizard/mtp-draft-check	POST	api-token	src/web/api/spawn_wizard.rs:278	route-stable-through-2.x
/api/system/info	GET	api-token	src/web/api/vram.rs:1120	route-stable-through-2.x
/api/system/metal-gpu-limit	GET	api-token	src/web/api/vram.rs:1148	route-stable-through-2.x
/api/system/metal-gpu-limit	GET	api-token	src/web/api/vram.rs:1200	route-stable-through-2.x
/api/system/set-metal-gpu-limit	POST	db-admin-token	src/web/api/vram.rs:1015	route-stable-through-2.x
/api/system/set-metal-gpu-limit	POST	db-admin-token	src/web/api/vram.rs:1174	route-stable-through-2.x
/api/system/wired-limit	GET	api-token	src/web/api/system_tools.rs:303	route-stable-through-2.x
/api/templates/:param	DELETE	api-token	src/web/api/templates.rs:113	route-stable-through-2.x
/api/templates/:param	PUT	api-token	src/web/api/templates.rs:79	route-stable-through-2.x
/api/templates	GET	api-token	src/web/api/templates.rs:32	route-stable-through-2.x
/api/templates	POST	api-token	src/web/api/templates.rs:53	route-stable-through-2.x
/api/third-party-models	POST	api-token	src/web/api/models.rs:1533	route-stable-through-2.x
/api/tls/acme/renew	POST	api-token	src/web/api/tls.rs:349	route-stable-through-2.x
/api/tls/acme/request	POST	api-token	src/web/api/tls.rs:281	route-stable-through-2.x
/api/tls/config	GET	api-token	src/web/api/tls.rs:34	route-stable-through-2.x
/api/tls/config	PUT	api-token	src/web/api/tls.rs:91	route-stable-through-2.x
/api/tune/ncpumoe	POST	api-token	src/web/api/benchmark.rs:759	route-stable-through-2.x
/api/vram-estimate	POST	api-token	src/web/api/vram.rs:44	route-stable-through-2.x
/api/vram/auto-size	POST	api-token	src/web/api/vram.rs:743	route-stable-through-2.x
/api/vram/estimate	POST	api-token	src/web/api/vram.rs:555	route-stable-through-2.x
/api/vram/quant-compare	POST	api-token	src/web/api/vram.rs:635	route-stable-through-2.x
